,hf,mech,parameter,inc,lambda,max V,max Cai,max Ta,max CaTrpn,TT max V,TT max Cai,TT max Ta,TT max CaTrpn,min V,min Cai,min Ta,min CaTrpn,ADP40,ADP90,CATD30,CATD90,TAD50,TAD90
8,control,iso,gammaw,1.2,1.0,38.12594813618984,0.00048394182740477934,25.259786353293464,0.2629184676942732,21.6,42.3,152.4,52.5,-87.97745821331877,7.74791955347495e-05,0.05385745327220808,0.0091789653402437,192.5,263.2,154.2,447.5,273.5,397.3
9,control,iso,gammaw,0.8,1.05,38.03903429003674,0.0004372762358805787,34.18185738203538,0.2874698322843119,21.3,45.4,162.7,54.9,-87.97565271507555,7.795407615650835e-05,0.09034456782093465,0.01279599874008636,194.1,264.1,168.7,498.5,298.4,435.0
10,control,iso,gammaw,1.0,1.05,38.03903429003674,0.0004372762358805787,34.18185738203538,0.2874698322843119,21.3,45.4,162.7,54.9,-87.97565271507555,7.795407615650835e-05,0.09034456782093465,0.01279599874008636,194.1,264.1,168.7,498.5,298.4,435.0
11,control,iso,gammaw,1.2,1.05,38.03903429003674,0.0004372762358805787,34.18185738203538,0.2874698322843119,21.3,45.4,162.7,54.9,-87.97565271507555,7.795407615650835e-05,0.09034456782093465,0.01279599874008636,194.1,264.1,168.7,498.5,298.4,435.0
12,control,iso,gammaw,0.8,1.1,37.93716979455234,0.0003889766229038145,46.891810783456044,0.3199904758301291,21.0,49.2,176.2,57.9,-87.97126772264849,7.936707386846064e-05,0.16907618077653083,0.019401690603724854,196.2,265.3,187.8,568.9,334.0,493.7
13,control,iso,gammaw,1.0,1.1,37.93716979455234,0.0003889766229038145,46.891810783456044,0.3199904758301291,21.0,49.2,176.2,57.9,-87.97126772264849,7.936707386846064e-05,0.16907618077653083,0.019401690603724854,196.2,265.3,187.8,568.9,334.0,493.7
14,control,iso,gammaw,1.2,1.1,37.93716979455234,0.0003889766229038145,46.891810783456044,0.3199904758301291,21.0,49.2,176.2,57.9,-87.97126772264849,7.936707386846064e-05,0.16907618077653083,0.019401690603724854,196.2,265.3,187.8,568.9,334.0,493.7
0,control,iso,gammas,0.8,0.9,38.270254991527906,0.0005715777278091374,13.86975227774515,0.22673119464874777,22.4,37.8,137.6,49.3,-87.97894857289097,7.708466633905119e-05,0.021949259883224288,0.005412116128159688,190.6,261.9,134.3,381.5,240.4,351.0
1,control,iso,gammas,1.0,0.9,38.270254991527906,0.0005715777278091374,13.86975227774515,0.22673119464874777,22.4,37.8,137.6,49.3,-87.97894857289097,7.708466633905119e-05,0.021949259883224288,0.005412116128159688,190.6,261.9,134.3,381.5,240.4,351.0
2,control,iso,gammas,1.2,0.9,38.270254991527906,0.0005715777278091374,13.86975227774515,0.22673119464874777,22.4,37.8,137.6,49.3,-87.97894857289097,7.708466633905119e-05,0.021949259883224288,0.005412116128159688,190.6,261.9,134.3,381.5,240.4,351.0
