,hf,mech,parameter,inc,lambda,max V,max Cai,max Ta,max CaTrpn,TT max V,TT max Cai,TT max Ta,TT max CaTrpn,min V,min Cai,min Ta,min CaTrpn,ADP40,ADP90,CATD30,CATD90,TAD50,TAD90
3,gomez,dyn,rw,0.8,1.05,40.25584796354278,0.0002634615121173276,1.2779163498879906,0.07413460424385217,16.5,153.0,209.5,119.2,-87.79236820107953,9.066118309514091e-05,0.21855742969368927,0.0251243611957859,236.7,345.9,294.1,565.3,398.3,588.7
4,gomez,dyn,rw,1.0,1.05,40.25733783399599,0.0002644487800351991,1.2955551603051063,0.07354843851911094,16.5,150.4,200.8,119.9,-87.79090903889815,9.086695649357913e-05,0.21939646513372354,0.025193428075752144,236.6,345.7,291.8,564.4,384.4,575.2
5,gomez,dyn,rw,1.2,1.05,40.258180271074856,0.0002650479439059141,1.3067442693017184,0.07321896571797733,16.5,148.9,195.5,120.1,-87.79018831062501,9.096795885408238e-05,0.2197667654885099,0.02522945376157112,236.5,345.6,290.4,564.9,376.6,569.0
6,gomez,dyn,rw,0.8,1.1,40.28243206253712,0.0002686722843945329,1.5420333852907973,0.07876595023652219,16.6,150.1,203.5,113.0,-87.79405510216944,9.032556531487618e-05,0.4206141607503075,0.03224544414419181,236.4,346.3,292.2,543.6,387.6,568.4
7,gomez,dyn,rw,1.0,1.1,40.28444303354717,0.00026969090030685083,1.5589307171028186,0.07809970765978101,16.6,147.4,195.0,114.3,-87.79260967531286,9.05280220864643e-05,0.42178948977042624,0.03230306456234583,236.3,346.1,289.7,544.3,374.7,561.1
8,gomez,dyn,rw,1.2,1.1,40.28554022676232,0.0002703151847294389,1.569699106808038,0.07772585978469433,16.6,145.8,189.9,114.7,-87.79188429064963,9.062915609103905e-05,0.4223445735224906,0.03233407320990675,236.2,346.0,288.2,545.8,367.5,558.4
0,gomez,dyn,Tref,0.8,1.0,40.23158774703828,0.0002590975603402153,1.0251276493911012,0.0721179364476549,16.4,154.5,206.5,125.1,-87.78763386397883,9.144094602631114e-05,0.10863553494497083,0.020770268500361257,236.9,345.5,294.8,583.8,388.3,583.5
1,gomez,dyn,Tref,1.0,1.0,40.233912960623286,0.0002607996826655525,1.1269184723240209,0.07034028895743817,16.4,152.5,205.1,124.4,-87.78776430102634,9.140788153439365e-05,0.12834793072993456,0.020033871310320223,236.7,345.4,293.0,577.8,389.3,575.7
2,gomez,dyn,Tref,1.2,1.0,40.23543942118894,0.00026207484104035227,1.2153637057267053,0.0689312376358184,16.4,151.0,204.1,123.9,-87.7879098338474,9.137535468942557e-05,0.14649155910218958,0.01939702881312666,236.6,345.4,291.6,573.5,390.4,569.7
3,gomez,dyn,Tref,0.8,1.05,40.25527177802409,0.0002629890070661966,1.1927931133996692,0.07573186153116984,16.5,152.2,201.6,119.9,-87.79043738187504,9.094755090110247e-05,0.1984208921197285,0.02636751523396081,236.7,345.8,293.4,568.9,383.2,581.4
4,gomez,dyn,Tref,1.0,1.05,40.25733783399599,0.0002644487800351991,1.2955551603051063,0.07354843851911094,16.5,150.4,200.8,119.9,-87.79090903889815,9.086695649357913e-05,0.21939646513372354,0.025193428075752144,236.6,345.7,291.8,564.4,384.4,575.2
5,gomez,dyn,Tref,1.2,1.05,40.25854955696434,0.00026557063210071944,1.3850696675828718,0.07185819958385668,16.5,149.0,200.1,119.8,-87.79119750934707,9.08168925545836e-05,0.23747532375562377,0.02424860042967484,236.5,345.7,290.5,561.2,385.9,570.9
6,gomez,dyn,Tref,0.8,1.1,40.284198482777896,0.0002687629983733291,1.4571520218206304,0.08092621276574419,16.6,148.7,195.1,101.8,-87.79237512229113,9.056591808693215e-05,0.3946565072906648,0.03428708766278542,236.4,346.2,291.1,547.7,373.7,570.0
7,gomez,dyn,Tref,1.0,1.1,40.28444303354717,0.00026969090030685083,1.5589307171028186,0.07809970765978101,16.6,147.4,195.0,114.3,-87.79260967531286,9.05280220864643e-05,0.42178948977042624,0.03230306456234583,236.3,346.1,289.7,544.3,374.7,561.1
8,gomez,dyn,Tref,1.2,1.1,40.284160242223,0.00027041128910349415,1.6477297034964493,0.07596240422620235,16.6,146.3,194.9,114.8,-87.79272669813929,9.050925553516734e-05,0.4443633619536927,0.030746670581578595,236.2,346.1,288.7,542.0,376.2,554.8
